nr,lat_orig,lon_orig,hell_orig,rdx_orig,rdy_orig,nap_orig,lat_calc,lon_calc,hell_calc,rdx_calc,rdy_calc,nap_calc,lat_diff,lon_diff,hell_diff,rdx_diff,rdy_diff,nap_diff
30018411,56.431951528,-1.019661209,79.9023,-240382.5754,957208.5810,inf,inf,inf,inf,-240358.7892,957043.3442,79.9023,-inf,-inf,-inf,-23.7862,165.2368,inf
30018412,56.088104098,8.404918024,154.8510,343015.6970,904911.2308,inf,inf,inf,inf,342966.0479,904747.4634,154.8510,-inf,-inf,-inf,49.6491,163.7674,inf
30018413,50.080563049,-1.763773691,273.3294,-356414.7018,257073.1004,inf,inf,inf,inf,-356382.3846,256991.0993,273.3294,-inf,-inf,-inf,-32.3172,82.0011,inf
30018414,56.022012139,8.454990263,126.1356,346453.7197,897684.0087,inf,inf,inf,inf,346403.5801,897521.0704,126.1356,-inf,-inf,-inf,50.1396,162.9383,inf
30018415,57.248129866,-0.009052900,270.0869,-171129.2858,1042813.9736,inf,inf,inf,inf,-171113.4261,1042638.0219,270.0869,-inf,-inf,-inf,-15.8597,175.9517,inf
30018416,47.700634253,-2.392560518,7.8550,-429063.9257,-2259.5537,inf,inf,inf,inf,-429024.7479,-2310.9936,7.8550,-inf,-inf,-inf,-39.1778,51.4399,inf
30018417,51.710156703,-1.937698780,170.1801,-350671.6717,438970.9804,inf,inf,inf,inf,-350638.5311,438867.6977,170.1801,-inf,-inf,-inf,-33.1406,103.2827,inf
30018418,49.858336848,-2.360905605,218.2636,-401619.5382,236770.5602,inf,inf,inf,inf,-401581.7608,236691.2286,218.2636,-inf,-inf,-inf,-37.7774,79.3316,inf
30018419,53.155404412,-1.276701760,24.4031,-290331.8252,594910.3510,inf,inf,inf,inf,-290304.8884,594788.3379,24.4031,-inf,-inf,-inf,-26.9368,122.0131,inf
30018420,47.987338291,-0.763494451,105.5287,-304336.6232,18184.1668,inf,inf,inf,inf,-304312.7999,18129.5290,105.5287,-inf,-inf,-inf,-23.8233,54.6378,inf
30018421,56.426798842,1.059068241,9.8087,-112283.5467,946859.3678,inf,inf,inf,inf,-112275.8645,946694.3892,9.8087,-inf,-inf,-inf,-7.6822,164.9786,inf
30018422,49.686473620,0.008441133,9.8650,-233050.6150,202499.9886,inf,inf,inf,inf,-233034.1323,202423.4766,9.8650,-inf,-inf,-inf,-16.4827,76.5120,inf
30018423,55.462726244,1.894631949,20.6948,-66023.7738,836644.3684,inf,inf,inf,inf,-66022.8111,836492.1186,20.6948,-inf,-inf,-inf,-0.9627,152.2498,inf
30018424,48.265613532,6.470461045,-7.6543,235507.1516,30810.5653,inf,inf,inf,inf,235463.7729,30750.3558,-7.6543,-inf,-inf,-inf,43.3787,60.2095,inf
30018425,51.046940952,-2.624107754,259.0250,-406038.0124,370495.8665,inf,inf,inf,inf,-405998.5512,370400.9723,259.0250,-inf,-inf,-inf,-39.4612,94.8942,inf
